parent_agent_id,parent_pipeline,node_order,agent_name,agent_class,agent_description
portfolio-optimization,PortfolioPlanningPipeline,1,LikeProductResearcher,ResearchAgent,"RAG over the like-product performance library."
portfolio-optimization,PortfolioPlanningPipeline,2,PortfolioOptimizer,CustomAgent,"MILP + weighted scoring of SKU/channel options."
portfolio-optimization,PortfolioPlanningPipeline,3,MarketSegmenter,CustomAgent,"ML clustering / segmentation for launch timing & sequencing (Market Segmentation Agent)."
portfolio-optimization,PortfolioPlanningPipeline,4,DemandRangeSimulator,CustomAgent,"Monte Carlo + like-product regression for the demand range & confidence interval."
portfolio-optimization,PortfolioPlanningPipeline,5,PortfolioScoreWriter,UtilityAgent,"Evidence-grounded portfolio recommendation (magic_prompt, anti-hallucination)."
portfolio-optimization,PortfolioPlanningPipeline,6,LaunchPlanGate,HumanAgent,"Planner approves the launch shortlist (Touchpoint 1)."
npi-forecast,DemandForecastPipeline,1,SignalCapture,ToolUseAgent,"Signal Capture Agent (SHARED with step 7) — ingests POS/orders/digital signals."
npi-forecast,DemandForecastPipeline,2,LikeProductResearcher,ResearchAgent,"RAG over the like-product library for analogs."
npi-forecast,DemandForecastPipeline,3,ForecastModeler,CustomAgent,"ARIMA / XGBoost / prophet multi-level forecast (core of NPI Forecast Agent)."
npi-forecast,DemandForecastPipeline,4,DemandSensing,CustomAgent,"Demand Sensing Agent (SHARED with step 7) — refines the curve from live signals."
npi-forecast,DemandForecastPipeline,5,ForecastNarrator,UtilityAgent,"Writes the explainable multi-level demand-curve narrative (magic_prompt)."
npi-forecast,DemandForecastPipeline,6,ForecastGate,HumanAgent,"Planner approves/overrides the forecast (Touchpoint 1)."
inventory-optimization-planning,InventoryPlanningPipeline,1,InventoryDataFetcher,ToolUseAgent,"Pulls inventory/cost/service-level state from planning systems."
inventory-optimization-planning,InventoryPlanningPipeline,2,NewsvendorOptimizer,CustomAgent,"Newsvendor one-time-buy model balancing underage vs. overage cost."
inventory-optimization-planning,InventoryPlanningPipeline,3,QuantityRecommendationWriter,UtilityAgent,"Evidence-grounded optimal-quantity recommendation (magic_prompt)."
inventory-optimization-planning,InventoryPlanningPipeline,4,LaunchQtyGate,HumanAgent,"Planner approves the optimized launch quantity (Touchpoint 1)."
inventory-optimization-planning,InventoryPlanningPipeline,5,DownstreamPublisher,ToolUseAgent,"Publishes the approved target quantity to downstream planning systems (feeds step 4)."
inventory-deployment-replenishing,InventoryDeploymentPipeline,1,NetworkDataFetcher,ToolUseAgent,"Pulls DC network state and current inventory positions."
inventory-deployment-replenishing,InventoryDeploymentPipeline,2,MultiEchelonOptimizer,CustomAgent,"Multi-echelon inventory optimization for pre-build sizing & DC positioning."
inventory-deployment-replenishing,InventoryDeploymentPipeline,3,AllocationPlanner,CustomAgent,"Allocates across customers/channels respecting commitment, priority, and safety-stock constraints."
inventory-deployment-replenishing,InventoryDeploymentPipeline,4,DeploymentPlanWriter,UtilityAgent,"Writes the pre-build + DC + allocation plan for sign-off (magic_prompt)."
inventory-deployment-replenishing,InventoryDeploymentPipeline,5,DeploymentGate,HumanAgent,"Planner approves the pre-build and DC plan (Touchpoint 1)."
inventory-deployment-replenishing,InventoryDeploymentPipeline,6,ReplenishmentExecutor,ToolUseAgent,"Auto-replenishes within the approved envelope."
exception-handler,InMarketMonitoringAdvisor,1,ExceptionDetector,ToolUseAgent,"Exception alerting tools — detects shortages, delays, demand spikes."
exception-handler,InMarketMonitoringAdvisor,2,SeverityScorer,CustomAgent,"Scores and ranks exceptions by severity."
exception-handler,InMarketMonitoringAdvisor,3,NextBestActionWriter,UtilityAgent,"Generates the proposed next-best-action / resolution (magic_prompt)."
exception-handler,InMarketMonitoringAdvisor,4,ExceptionGate,HumanAgent,"Planner works the scored exception queue, accepts/overrides (Touchpoint 2)."
