id,kind,step,phase,title,status,refinery_class,aera_skill,skill_type,metric,metric_target,description,tooling,transformation_badge,transformation_note,aera
portfolio-optimization,agent,1,Portfolio & Launch Planning,Portfolio Optimization Agent,planned,FlowSuperAgent,no,,Launch hit rate & portfolio ROI,,"Scores and ranks the SKU launch shortlist and generates an evidence-based demand range. Two decisions: which SKUs/channels to launch, and the expected demand range + initial confidence interval.",MILP · weighted scoring · like-product regression · Monte Carlo,TRANSFORMED·AUGMENTED,"Brand-team picks become AI scores across like-products performance and shelf velocity, which the planner approves. (Demand-range decision is ENABLED·AUTOMATED.)",Placeholder
market-segmentation,agent,1,Portfolio & Launch Planning,Market Segmentation Agent,planned,CustomAgent,no,,Launch timing & sequencing accuracy,,Clusters channels/customers and ranks launch timing & sequencing by launch readiness and demand potential.,ML clustering · segmentation models,TRANSFORMED·AUGMENTED,Marketing-calendar dates give way to channels and customers ranked by launch readiness and demand potential.,
npi-forecast,agent,2,Demand Forecasting & Signal Conversion,NPI Forecast Agent,planned,FlowSuperAgent,no,,Forecast accuracy (MAPE / WMAPE),,Generates a live multi-level (brand → SKU → customer) demand curve and flags model drift.,"Statistical models (ARIMA, time series) · ML (XGBoost, prophet) · like-product analogy",TRANSFORMED·CONTINUOUS,One static 12-week baseline becomes a live multi-level sales curve that captures product life cycle sales forecast.,
signal-capture,agent,2,Demand Forecasting & Signal Conversion,Signal Capture Agent,planned,ToolUseAgent,no,,Demand-signal latency (days → hours),,"Ingests and weights POS, retailer orders, and digital/unstructured signals in near real time; harmonizes & validates the demand dataset. Shared across steps 2 and 7.",Data engineering tools · GenAI for unstructured signal extraction,ENABLED·AUTOMATED,"POS, retailer orders and digital signals are ingested and weighted in near real time, not pulled weekly by hand.",
demand-sensing,aera-skill,2,Demand Forecasting & Signal Conversion,Demand Sensing,deployed,CustomAgent,yes,deterministic,Shelf-level demand visibility,,Aera skill (deterministic). Reads demand and builds the sell-through curves that show what is happening at the shelf — mapping point-of-sale scans up to cases — and continuously recalibrates the in-market forecast curve. Shared across steps 2 and 7. In the agentic vision this is wrapped as a CustomAgent worker.,ML time-series · real-time signal models,ENABLED·AUTOMATED,"The sales curve is recalibrated automatically from detected demand signals — running continuously, not recomputed by hand on demand.",
demand-signal-reconciliation,aera-skill,2,Demand Forecasting & Signal Conversion,Demand Signal Reconciliation,deployed,CustomAgent,yes,deterministic,One aligned demand number across systems,,"Aera skill (deterministic). Reconciles the PlanX, Kinaxis and Commercial demand signals into a single aligned demand view so operations plan against one agreed number instead of three competing ones.",Cross-system signal reconciliation · alignment rules (PlanX · Kinaxis · Commercial),ENABLED·AUTOMATED,"PlanX, Kinaxis and commercial demand signals are reconciled into one aligned demand view automatically, instead of being cross-checked by hand.",
inventory-optimization-planning,agent,3,Inventory Planning,Inventory Optimization and Planning Agent,planned,FlowSuperAgent,no,,Stockout vs. write-off cost balance,,Computes the optimal launch quantity from the underage/overage trade-off (newsvendor one-time-buy) and publishes it as the target for downstream planning systems.,Newsvendor type of one-time buy model,TRANSFORMED·AUGMENTED,Launch quantity becomes an optimized recommendation balancing stockout and write-off cost for planner sign-off. (Publish-to-downstream decision is ENABLED·AUTOMATED.),Placeholder
inventory-deployment-replenishing,agent,5,Inventory Positioning & Deployment,Inventory deployment and replenishing agent,planned,FlowSuperAgent,no,,Case fill rate & inventory turns,,"Sizes pre-build, positions stock across DCs/regions, allocates to customers/channels with risk buffers, and triggers replenishment within the approved envelope.",Multi-echelon inventory optimization and replenishment models,TRANSFORMED·AUGMENTED,A static pre-build plan becomes an agent recommendation sized to demand confidence intervals for planner sign-off. (Positioning is TRANSFORMED·CONTINUOUS; channel allocation is ENABLED·AUTOMATED.),Placeholder
lifecycle-management,agent,7,Launch Execution & In-Market Adjustments,Lifecycle Management Agent,planned,CustomAgent,no,,Phase-in / phase-out timing accuracy,,Updates the demand curve via phase-in/phase-out lifecycle models and flags required supply/inventory/distribution actions for the planner.,LLM · statistical & ML lifecycle forecast models (phase-in / phase-out),TRANSFORMED·AUGMENTED,The demand curve updates and required supply and distribution actions are flagged for the planner to act on.,
exception-handler,agent,7,Launch Execution & In-Market Adjustments,Exception Handler Agent,planned,FlowSuperAgent,no,,Exception resolution time,,"Scores and routes exceptions (shortages, delays, demand spikes) by severity and generates a proposed next-best-action resolution.",LLM · exception alerting tools · next-best-action generation,ENABLED·AUTOMATED,"Exceptions are scored and routed by severity with a proposed resolution, instead of manual firefighting.",
